    горад Віцебск
    вёска Маскалёнкі, Верхнякрывінскі сельсавет
    вёска Мількавічы, Верхнякрывінскі сельсавет
    вёска Навумаўка, Верхнякрывінскі сельсавет
    вёска Ніжняе Крывіна, Верхнякрывінскі сельсавет
    вёска Новыя Ранчыцы, Верхнякрывінскі сельсавет
    вёска Пажарышча, Верхнякрывінскі сельсавет
    вёска Паліцы, Верхнякрывінскі сельсавет
    вёска Пірагі, Верхнякрывінскі сельсавет
    вёска Раманава, Верхнякрывінскі сельсавет
    вёска Ржаўка, Верхнякрывінскі сельсавет
    вёска Рубеж, Верхнякрывінскі сельсавет
    вёска Рудыя, Верхнякрывінскі сельсавет
    вёска Русілкі, Верхнякрывінскі сельсавет
    вёска Саннікі, Верхнякрывінскі сельсавет
    вёска Семянцова, Верхнякрывінскі сельсавет
    вёска Старадворцы, Верхнякрывінскі сельсавет
    вёска Старыя Ранчыцы, Верхнякрывінскі сельсавет
    вёска Стаськава, Верхнякрывінскі сельсавет
    вёска Хізава, Верхнякрывінскі сельсавет
    вёска Хмяльнік, Верхнякрывінскі сельсавет
    вёска Храпавішчына, Верхнякрывінскі сельсавет
    вёска Целяпні, Верхнякрывінскі сельсавет
    вёска Целяпы, Верхнякрывінскі сельсавет
    вёска Шаламы, Верхнякрывінскі сельсавет
    вёска Шарыпіна, Верхнякрывінскі сельсавет
    вёска Шчыпцы, Верхнякрывінскі сельсавет
    вёска Баркуны, Вярхоўскі сельсавет
    вёска Вадапоева, Вярхоўскі сельсавет
    вёска Васкрасенцы, Вярхоўскі сельсавет
    вёска Вярхоўе, Вярхоўскі сельсавет
    вёска Гурына, Вярхоўскі сельсавет
    вёска Дапаны, Вярхоўскі сельсавет
    пасёлак Драбушова, Вярхоўскі сельсавет
    вёска Забалацце, Вярхоўскі сельсавет
    вёска Застарынне, Вярхоўскі сельсавет
    вёска Куты, Вярхоўскі сельсавет
    вёска Луг, Вярхоўскі сельсавет
    вёска Люлюкі, Вярхоўскі сельсавет
    вёска Машкі, Вярхоўскі сельсавет
    вёска Пугачкі, Вярхоўскі сельсавет
    вёска Сватаўка, Вярхоўскі сельсавет
    вёска Селішча, Вярхоўскі сельсавет
    вёска Стар, Вярхоўскі сельсавет
    вёска Чаркасы, Вярхоўскі сельсавет
    вёска Шкалёўка, Вярхоўскі сельсавет
    вёска Шчукі, Вярхоўскі сельсавет
    вёска Асінаўка, Соржыцкі сельсавет
    вёска Бардашы, Соржыцкі сельсавет
    вёска Берашэўцы, Соржыцкі сельсавет
    вёска Беркава, Соржыцкі сельсавет
    вёска Будзілава, Соржыцкі сельсавет
    вёска Вяжышча, Соржыцкі сельсавет
    вёска Вялікія Паўлавічы, Соржыцкі сельсавет
    вёска Гарадзец, Соржыцкі сельсавет
    вёска Гняздзілава, Соржыцкі сельсавет
    вёска Дашкава, Соржыцкі сельсавет
    вёска Дуброва, Соржыцкі сельсавет
    вёска Жавуры, Соржыцкі сельсавет
    вёска Забелле, Соржыцкі сельсавет
    вёска Задарожжа, Соржыцкі сельсавет
    вёска Замошша, Соржыцкі сельсавет
    вёска Засор'е, Соржыцкі сельсавет
    вёска Засценкі, Соржыцкі сельсавет
    вёска Кудзяны, Соржыцкі сельсавет
    вёска Ліхачы, Соржыцкі сельсавет
    вёска Ліхошына, Соржыцкі сельсавет
    вёска Макраны, Соржыцкі сельсавет
    вёска Малыя Паўлавічы, Соржыцкі сельсавет
    вёска Мартасы, Соржыцкі сельсавет
    вёска Падакі, Соржыцкі сельсавет
    вёска Равякі, Соржыцкі сельсавет
    вёска Светагорава, Соржыцкі сельсавет
    вёска Сініцы, Соржыцкі сельсавет
    вёска Сіняны, Соржыцкі сельсавет
    вёска Соржыца, Соржыцкі сельсавет
    вёска Стрэлішча, Соржыцкі сельсавет
    вёска Холм, Соржыцкі сельсавет
    вёска Чарнагосце, Соржыцкі сельсавет
    вёска Шчакатоўшчына, Соржыцкі сельсавет
    вёска Бортнікі 1, Ульскі сельсавет
    вёска Бортнікі 2, Ульскі сельсавет
    вёска Броды, Ульскі сельсавет
    вёска Бычкова, Ульскі сельсавет
    вёска Галі, Ульскі сельсавет
    вёска Гарані, Ульскі сельсавет
    вёска Дворнікі, Ульскі сельсавет
    вёска Дубішча, Ульскі сельсавет
    вёска Дыбалі, Ульскі сельсавет
    вёска Ермалаўшчына, Ульскі сельсавет
    вёска Жданова, Ульскі сельсавет
    вёска Зарэчча, Ульскі сельсавет
    вёска Зорнікі, Ульскі сельсавет
    вёска Марцінава, Ульскі сельсавет
    вёска Мураўшчына, Ульскі сельсавет
    вёска Паніззе, Ульскі сельсавет
    вёска Паўазер'е, Ульскі сельсавет
    вёска Прудзіны, Ульскі сельсавет
    вёска Сапегі, Ульскі сельсавет
    вёска Слабада, Ульскі сельсавет
    вёска Сокарава, Ульскі сельсавет
    вёска Узрэчча, Ульскі сельсавет
    пасёлак Ула, Ульскі сельсавет
    вёска Ульянаўка, Ульскі сельсавет
    вёска Фролкавічы, Ульскі сельсавет
    вёска Хоціна, Ульскі сельсавет
    вёска Шавурына, Ульскі сельсавет
    вёска Шапчына, Ульскі сельсавет
    горад Браслаў
    гарадскі пасёлак Відзы
    вёска Азяраўцы, Ахрэмавецкі сельсавет
    вёска Аколіца, Ахрэмавецкі сельсавет
    вёска Альгярдова, Ахрэмавецкі сельсавет
    вёска Ахрэмаўцы, Ахрэмавецкі сельсавет
    хутар Ахрэмаўшчына, Ахрэмавецкі сельсавет
    вёска Гайлешы, Ахрэмавецкі сельсавет
    хутар Гаўрылова, Ахрэмавецкі сельсавет
    вёска Гірдзюшы, Ахрэмавецкі сельсавет
    вёска Гурка, Ахрэмавецкі сельсавет
    вёска Даўяты Вялікія, Ахрэмавецкі сельсавет
    вёска Даўяты Малыя, Ахрэмавецкі сельсавет
    вёска Дзегцяры, Ахрэмавецкі сельсавет
    вёска Жвірблі, Ахрэмавецкі сельсавет
    вёска Забалоцце, Ахрэмавецкі сельсавет
    вёска Забор'е, Ахрэмавецкі сельсавет
    вёска Закор'е, Ахрэмавецкі сельсавет
    вёска Замошша, Ахрэмавецкі сельсавет
    вёска Зімірка, Ахрэмавецкі сельсавет
    вёска Зімнікі, Ахрэмавецкі сельсавет
    вёска Каменка, Ахрэмавецкі сельсавет
    вёска Кіслаўшчына, Ахрэмавецкі сельсавет
    вёска Кумша, Ахрэмавецкі сельсавет
    вёска Лабуцеўцы, Ахрэмавецкі сельсавет
    вёска Мазурына, Ахрэмавецкі сельсавет
    вёска Марозаўшчына, Ахрэмавецкі сельсавет
    вёска Марцінаўцы, Ахрэмавецкі сельсавет
    вёска Мацешы, Ахрэмавецкі сельсавет
    вёска Мелеўцы, Ахрэмавецкі сельсавет
    вёска Мілашы, Ахрэмавецкі сельсавет
    хутар Палессе, Ахрэмавецкі сельсавет
    хутар Перавалока, Ахрэмавецкі сельсавет
    хутар Прудзінка, Ахрэмавецкі сельсавет
    вёска Пяткунішкі, Ахрэмавецкі сельсавет
    вёска Разэта, Ахрэмавецкі сельсавет
    вёска Рудава, Ахрэмавецкі сельсавет
    вёска Рукшы, Ахрэмавецкі сельсавет
    вёска Самавольцы, Ахрэмавецкі сельсавет
